,PROPERTIES_SHOPPABLE_POST_ID,POST_TIMESTAMP,LAST_CLICK_TIMESTAMP,PREVIEW,FULL_VIEW,CTR,RT_SCORE,score,coldness_score,hotness_score,date
236957,236957,1569947675435,1569981944111.0,91,6,0.061855670103092786,11.907158550116,12.66282747949565,2.8421709430404007e-12,12.662827479492808,2019-10-01 09:34:35.435
236994,236994,1569954140913,1569996983971.0,325,13,0.038461538461538464,8.186250578404252,8.399080743303779,0.0,8.399080743303779,2019-10-01 11:22:20.913
236953,236953,1569947401624,1569996290632.0,349,14,0.03856749311294766,8.200768137073373,8.415111709744986,0.0,8.415111709744986,2019-10-01 09:30:01.624
236939,236939,1569946164382,1569997876834.0,822,50,0.05733944954128441,11.107239636518425,11.72157744907299,0.0,11.72157744907299,2019-10-01 09:09:24.382
236937,236937,1569945852322,1569995616526.0,425,10,0.022988505747126436,6.2811301703807345,6.340785158298419,0.0,6.340785158298419,2019-10-01 09:04:12.322
236990,236990,1569953671229,1569997462873.0,646,38,0.05555555555555555,10.802046864073949,11.365796806917967,0.0,11.365796806917967,2019-10-01 11:14:31.229
236934,236934,1569945051136,1569995281532.0,92,2,0.02127659574468085,6.095488981525902,6.14517572557979,1.7208456881689926e-12,6.145175725578069,2019-10-01 08:50:51.136
237083,237083,1569968298521,1569997718082.0,1537,59,0.03696741854636591,7.9837271443329865,8.175977067672592,0.0,8.175977067672592,2019-10-01 15:18:18.521
237098,237098,1569969704309,1569996928239.0,526,54,0.09310344827586207,18.433450374713864,20.70831883454894,0.0,20.70831883454894,2019-10-01 15:41:44.309
237124,237124,1569971812664,1569997226854.0,4408,400,0.08319467554076539,16.192806671804995,17.887790081817965,0.0,17.887790081817965,2019-10-01 16:16:52.664
237092,237092,1569969103944,1569991433290.0,732,16,0.0213903743315508,6.107679210124423,6.157992885948927,0.0,6.157992885948927,2019-10-01 15:31:43.944
237110,237110,1569970420474,1569976047943.0,1485,0,0.0,4.158634824696119,4.158634824696119,0.0,4.158634824696119,2019-10-01 15:53:40.474
237123,237123,1569971729097,1569998029847.0,9882,1044,0.09555189456342669,19.006904938851914,21.43609841825157,0.0,21.43609841825157,2019-10-01 16:15:29.097
237146,237146,1569973854517,1569998123787.0,3048,262,0.07915407854984895,15.320909156602427,16.803693625895875,0.0,16.803693625895875,2019-10-01 16:50:54.517
237095,237095,1569969447423,1569998039261.0,1751,74,0.040547945205479455,8.475942539829068,8.719929301280304,0.0,8.719929301280304,2019-10-01 15:37:27.423
237125,237125,1569971847016,1569971873978.0,0,2,1.0,99.98798327833609,99.99998356886567,49.999984704888654,49.99999886397703,2019-10-01 16:17:27.016
237134,237134,1569972564577,1569998080401.0,4812,228,0.04523809523809524,9.156840966296953,9.481861522988867,0.0,9.481861522988867,2019-10-01 16:29:24.577
237127,237127,1569972049194,,0,0,NaN,49.987984414359055,49.999984704888654,49.999984704888654,0.0,2019-10-01 16:20:49.194
237129,237129,1569972139233,1569998073991.0,28160,3696,0.11602209944751381,24.006049072386055,27.800694527231002,0.0,27.800694527231002,2019-10-01 16:22:19.233
237093,237093,1569969137253,1569991433290.0,176,2,0.011235955056179775,5.099616940609321,5.111323150394464,0.0,5.111323150394464,2019-10-01 15:32:17.253
237099,237099,1569969712088,1569997600624.0,363,22,0.05714285714285714,11.073306276712906,11.681926375418465,0.0,11.681926375418465,2019-10-01 15:41:52.088
237103,237103,1569970052191,1569996598966.0,275,3,0.01079136690647482,5.059041020814394,5.069757283374039,0.0,5.069757283374039,2019-10-01 15:47:32.191
237104,237104,1569970141135,1569996203098.0,282,2,0.007042253521126761,4.728134979823705,4.732413037860126,0.0,4.732413037860126,2019-10-01 15:49:01.135
237122,237122,1569971720398,1569997600625.0,431,62,0.1257606490872211,26.438571320366233,30.852317303324465,0.0,30.852317303324465,2019-10-01 16:15:20.398
237081,237081,1569968052417,1569998039260.0,2000,137,0.06410856340664482,12.320712678278364,13.154205208328989,0.0,13.154205208328989,2019-10-01 15:14:12.417
